file,reason
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\سرير\17.wav,Invalid duration: 0.49s
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\صمغ\35.wav,Invalid duration: 0.47s
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\صمغ\36.wav,Invalid duration: 0.48s
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\ضوء\1.wav,Invalid duration: 13.54s
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\طريق\33.wav,Invalid duration: 0.38s
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\طريق\34.wav,Invalid duration: 0.48s
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\ظهر\14.wav,Invalid duration: 0.47s
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\عين\14.wav,Invalid duration: 0.47s
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\عين\15.wav,Invalid duration: 0.38s
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\عين\17.wav,Invalid duration: 0.33s
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\عين\18.wav,Invalid duration: 0.38s
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\قلب\15.wav,Invalid duration: 0.46s
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\قلب\16.wav,Invalid duration: 0.47s
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\قلب\17.wav,Invalid duration: 0.44s
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\قلب\18.wav,Invalid duration: 0.39s
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\قميص\1.wav,Invalid duration: 0.43s
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\قميص\6.wav,Invalid duration: 0.47s
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\كتاب\14.wav,Invalid duration: 0.30s
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\كتاب\15.wav,Invalid duration: 0.37s
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\كتاب\18.wav,Invalid duration: 0.36s
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\كتاب\19.wav,Invalid duration: 0.20s
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\كتاب\20.wav,Invalid duration: 0.48s
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\كرسي\18.wav,Invalid duration: 0.35s
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\كرسي\20.wav,Invalid duration: 0.47s
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\كلب\15.wav,Invalid duration: 0.50s
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\كورة\16.wav,Invalid duration: 0.48s
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\مفتاح\17.wav,Invalid duration: 0.37s
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\موية\14.wav,Invalid duration: 150.66s
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\موية\15-.wav,Cannot identify speaker
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\موية\16-.wav,Cannot identify speaker
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\موية\16.wav,Invalid duration: 0.32s
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\موية\17-.wav,Cannot identify speaker
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\موية\18.wav,Invalid duration: 0.45s
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\موية\19.wav,Invalid duration: 0.37s
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\نار\17.wav,Invalid duration: 0.49s
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\نار\2.wav,Invalid duration: 0.49s
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\نام\14.wav,Invalid duration: 0.45s
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\نام\20.wav,Invalid duration: 0.45s
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\نام\22.wav,Invalid duration: 0.48s
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\نام\24.wav,Invalid duration: 0.47s
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\واحد\4.wav,Invalid duration: 0.42s
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\ولد\31.wav,Invalid duration: 0.38s
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\يالله\22.wav,Invalid duration: 0.44s
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\يد\14.wav,Invalid duration: 0.38s
