file,reason
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\اشرب\10.wav,Inappropriate duration: 0.27s
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\جا\4.wav,Inappropriate duration: 0.24s
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\كتاب\14.wav,Inappropriate duration: 0.30s
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\كتاب\19.wav,Inappropriate duration: 0.20s
C:\Users\فاطمة الزهراني\Desktop\ابحاث\الداون\Data\clean\موية\14.wav,Inappropriate duration: 150.66s
